forecast_date,target,horizon,type,quantile,value
2026-03-28,gopc_ili_rate_per1000,2 wk ahead,quantile,0.975,6.650636
2026-03-28,gopc_ili_rate_per1000,2 wk ahead,quantile,0.99,9.685165
2026-03-28,gopc_ili_rate_per1000,2 wk ahead,point,NA,0.0
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.01,0.0
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.025,0.0
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.05,0.0
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.1,0.0
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.15,0.0
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.2,0.0
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.25,0.0
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.3,0.0
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.35,0.0
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.4,0.0
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.45,0.0
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.5,0.0
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.55,0.01415
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.6,0.045274
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.65,0.080741
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.7,0.123903
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.75,0.174115
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.8,0.229524
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.85,0.299269
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.9,0.381491
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.95,0.517518
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.975,0.665064
2026-03-28,lab_positivity_pct,2 wk ahead,quantile,0.99,0.968517
2026-03-28,lab_positivity_pct,2 wk ahead,point,NA,0.0
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.01,0.0
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.025,0.0
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.05,0.0
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.1,0.0
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.15,0.0
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.2,0.0
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.25,0.0
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.3,0.0
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.35,0.0
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.4,0.0
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.45,0.0
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.5,0.0
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.55,0.510735
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.6,0.948201
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.65,1.415833
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.7,1.991724
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.75,2.53772
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.8,3.156442
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.85,3.822811
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.9,5.046693
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.95,6.727097
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.975,8.34328
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,quantile,0.99,10.463666
2026-03-28,gopc_ili_rate_per1000,3 wk ahead,point,NA,0.0
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.01,0.0
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.025,0.0
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.05,0.0
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.1,0.0
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.15,0.0
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.2,0.0
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.25,0.0
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.3,0.0
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.35,0.0
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.4,0.0
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.45,0.0
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.5,0.0
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.55,0.051074
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.6,0.09482
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.65,0.141583
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.7,0.199172
