date,forecast,lo80,hi80,lo95,hi95
2026-03-01,0.0006747449743210084,0.0006726958191867979,0.0006769758216617569,0.0006716346587994823,0.0006782068291349358
2026-03-08,0.0005553408478562092,0.0005533081216388923,0.0005575097697697598,0.0005522813252414653,0.000559073344059982
2026-03-15,0.0005603832526572803,0.0005581529473011723,0.0005630974021662236,0.000556878447522741,0.0005644076709631651
2026-03-22,0.0004390906907789798,0.00043726788033362466,0.000441364998939961,0.0004362990055811937,0.0004422099454125046
2026-03-29,0.0005330871979937782,0.0005306203323467969,0.0005355429156674963,0.0005295363758054904,0.0005367648786987046
2026-04-05,0.0003944451677377754,0.00039254525433708747,0.0003962855641788408,0.0003917820649047124,0.0003973070753274358
2026-04-12,0.0004461267919589005,0.0004438930795752266,0.0004480992254429599,0.0004427097815895635,0.00044890418274820646
2026-04-19,0.00027517025515068393,0.0002738228255416672,0.0002763998319906991,0.0002731993802757289,0.00027699378865557076
2026-04-26,0.0002884326348260289,0.00028710724142758245,0.00028960027719893014,0.0002864505416042339,0.0002902692555150263
2026-05-03,0.0002955192371045429,0.00029404169580562724,0.0002968800184479581,0.00029331759702245347,0.00029759914737734715
2026-05-10,0.0004534231109016505,0.00045141221171791056,0.000455431614856605,0.00045002160504550886,0.00045660766472336873
2026-05-17,0.0003388610179060187,0.00033728175648742927,0.00034044623127646364,0.00033619689699990727,0.00034116821146685096
2026-05-24,0.0003986645219016983,0.00039675942100283226,0.00040043288586514035,0.00039553699463239916,0.0004014719746929617
2026-05-31,0.0002867915688583653,0.00028534881045319614,0.00028799673298067637,0.00028444772299761654,0.0002888504967179537
2026-06-07,0.00032651104305694514,0.0003250200957381235,0.00032807963188049335,0.0003241544842756589,0.00032884452782451024
2026-06-14,0.0005572562649136203,0.0005544720823502026,0.0005600097630628009,0.0005529771385733678,0.0005616004107276165
2026-06-21,0.0008697074558070872,0.0008650656356470357,0.0008740736013834567,0.0008634385414842317,0.0008759528154647616
2026-06-28,0.0011250701298140637,0.0011191966827774063,0.001130406269366483,0.0011166640754353438,0.0011331644998607668
2026-07-05,0.001145122080708173,0.0011390319450399584,0.0011508659215051626,0.0011362290801642347,0.0011537413881221627
2026-07-12,0.001287577358277485,0.0012807803935551655,0.001293228792832718,0.0012769007426464063,0.0012968997301435227
2026-07-19,0.0014216462146629417,0.0014143114129960565,0.0014282394725845448,0.0014097824662228765,0.001431652461910118
2026-07-26,0.0015524550604709938,0.0015450438436756602,0.0015597022900034868,0.001541216827727109,0.0015641175251289567
2026-08-02,0.001321171034965773,0.0013146742760379749,0.0013277861704046497,0.0013112142230287023,0.0013313431196879265
2026-08-09,0.0016919205223854255,0.0016827934280642227,0.0017000250343951282,0.001678572473717557,0.001705039966000946
2026-08-16,0.002638191942513737,0.002624451230846686,0.002651181338339699,0.0026168085148466644,0.0026585898478409626
2026-08-23,0.004261710529404641,0.004239764716082053,0.004280962766396763,0.004229750314937459,0.004295468700762884
2026-08-30,0.005427560117851558,0.00539915737125607,0.005452988612515369,0.005383742283818435,0.00546658066294181
2026-09-06,0.007681180557351504,0.007641145573798923,0.007718748540609871,0.007623706873154963,0.007736770731875649
2026-09-13,0.012159543783511511,0.012100275903976623,0.012219244831336473,0.01206569559907307,0.012245413349085781
2026-09-20,0.01187813260890363,0.011821421582014742,0.011936705737180519,0.011786523681554917,0.01195746027720745
2026-09-27,0.011050252301134586,0.010998651362203871,0.011101519712656256,0.010974260996797998,0.011128674591409959
2026-10-04,0.016572925373723894,0.01649252693442264,0.01664821723766203,0.016457032006054348,0.0166890373070309
2026-10-11,0.021171995977039774,0.021077415718348147,0.021259503854748545,0.021041783760890748,0.021305820067074873
2026-10-18,0.022350785323794472,0.022258933979813,0.02245146424423611,0.022214432767101423,0.022511325408743753
2026-10-25,0.011959969389417995,0.011903407761850582,0.012013088651370171,0.01188208750694703,0.01204206497763193
2026-11-01,0.008725127987443675,0.00868292153317688,0.008765742567311694,0.008662868057412301,0.008784082583529505
2026-11-08,0.00577849066358792,0.0057501079704231324,0.005807580200601109,0.005733422519800842,0.005821337855915474
2026-11-15,0.004917366768148306,0.004892229398030065,0.00493997121317072,0.004879838807233376,0.0049532318048533894
2026-11-22,0.006602516889034297,0.006570822437671222,0.006634269142904615,0.006554259318504277,0.006646939799300585
2026-11-29,0.008211057524995088,0.00817242782240898,0.008252932626448953,0.008150430656590334,0.008274834942277242
