iso_week,ili_p10,ili_p50,ili_p90,n_years
1,0.002830415,0.00901379999999995,0.01371096,6
2,0.00401808999999995,0.013712329999999998,0.020021785,6
3,0.0034859349999999,0.01517813,0.02234581,6
4,0.005390225,0.012042904999999951,0.02070835,6
5,0.007780815,0.01364484999999995,0.020650099999999998,6
6,0.0065918,0.009999035,0.01504657,6
7,0.0050292499999999,0.01033787999999995,0.016113235,6
8,0.0055194,0.009842914999999949,0.01768585,6
9,0.00502901999999995,0.008193255,0.01276884,6
10,0.00414775999999995,0.006362289999999949,0.011913685,6
11,0.003613855,0.00460784999999995,0.01080094,6
12,0.00207336499999995,0.00414913499999995,0.01017724,6
13,0.00122901,0.00373336,0.00774431499999995,6
14,0.0010063,0.0034526799999999498,0.0072083249999999495,6
15,0.0009408,0.00293242,0.006470129999999949,6
16,0.001324125,0.004043635,0.00626220999999995,6
17,0.0011666649999999999,0.00294686,0.005191805,6
18,0.0008865450000000001,0.00234071999999995,0.00498845,6
19,0.000974705,0.002323505,0.00542839,6
20,0.001311965,0.00227699,0.0058293249999999495,6
21,0.000919185,0.002678105,0.0067897199999999505,6
22,0.00079276,0.00388762499999995,0.00677995,6
23,0.00069491,0.0040215599999999,0.009929915000000001,6
24,0.000869995,0.0036315799999999503,0.01272214,6
25,0.0012572,0.0032557,0.01682607499999995,6
26,0.00101792999999995,0.003097805,0.01673373,6
27,0.00128584999999995,0.00346320499999995,0.01734322499999995,6
28,0.00148202,0.00289304999999995,0.01834049999999995,6
29,0.0012471000000000001,0.0021221,0.01461836,6
30,0.0006585049999999501,0.001384025,0.00911294,6
31,0.00061210499999995,0.001371045,0.00625634999999995,6
32,0.000516,0.00132431,0.00419469,6
33,0.0008071,0.00136539,0.0039366,6
34,0.0007189399999999999,0.00144999,0.00289332,6
35,0.0007076199999999501,0.00123028,0.0025501,6
36,0.00089068,0.00102312,0.004279395,6
37,0.00065065,0.0008791350000000001,0.004379944999999949,6
38,0.00034798499999995,0.0005484,0.00390341999999995,6
39,0.00051325999999995,0.0006359599999998999,0.0037355349999999,6
40,0.00023724999999995,0.00049635,0.00289464999999995,6
41,0.00028485,0.00043214999999999996,0.002527005,6
42,0.00028672,0.00051006,0.002537765,6
43,0.00023733,0.0006968,0.002678535,6
44,0.00022757499999995,0.000632925,0.0024555099999999,6
45,0.00019587999999995,0.000624515,0.00234172,6
46,0.00026106999999995,0.00067387,0.00215546,6
47,0.00035037499999995,0.00076472999999995,0.00218491999999995,6
48,0.00047159999999995,0.0008850899999999999,0.00271884,6
49,0.00056467,0.00134189,0.00248382,6
50,0.00093882999999995,0.00153269,0.0032476000000000002,6
51,0.00145693499999995,0.00258005,0.004354395,6
52,0.00197173,0.0050152099999999,0.00706904999999995,6
53,0.0017555999999999,0.0017555999999999,0.0017555999999999,1
