date,year,week,month,y_raw,y_log,suppression_flag_filled,post_covid,temp_z,ah_z,hko_temp_norm,hko_ah_norm
2019-01-06,2019.0,2.0,1,0.0161088,-4.128389572463332,0,0,-1.489044338550456,-1.3475218775948983,16.3,10.262
2019-01-13,2019.0,3.0,1,0.0230615,-3.769590718555086,0,0,-1.489044338550456,-1.3475218775948983,16.3,10.262
2019-01-20,2019.0,4.0,1,0.018612,-3.983948744999735,0,0,-1.489044338550456,-1.3475218775948983,16.3,10.262
2019-01-27,2019.0,5.0,1,0.011977,-4.424767135016768,0,0,-1.489044338550456,-1.3475218775948983,16.3,10.262
2019-02-03,2019.0,6.0,2,0.011322,-4.481007543367669,0,0,-1.3194783046618361,-1.0761123607845329,17.1,11.641
2019-02-10,2019.0,7.0,2,0.0080988,-4.816039376426913,0,0,-1.3194783046618361,-1.0761123607845329,17.1,11.641
2019-02-17,2019.0,8.0,2,0.0059296999999999,-5.1277816574714725,0,0,-1.3194783046618361,-1.0761123607845329,17.1,11.641
2019-02-24,2019.0,9.0,2,0.006003,-5.115495934712431,0,0,-1.3194783046618361,-1.0761123607845329,17.1,11.641
2019-03-03,2019.0,10.0,3,0.0051290999999999,-5.2728250737871205,0,0,-0.8107802029959774,-0.6592556844942109,19.5,13.759
2019-03-10,2019.0,11.0,3,0.0040425999999999,-5.510867229651401,0,0,-0.8107802029959774,-0.6592556844942109,19.5,13.759
2019-03-17,2019.0,12.0,3,0.003312,-5.710203042459124,0,0,-0.8107802029959774,-0.6592556844942109,19.5,13.759
2019-03-24,2019.0,13.0,3,0.0021111999999999,-6.160498772775207,0,0,-0.8107802029959774,-0.6592556844942109,19.5,13.759
2019-03-31,2019.0,14.0,3,0.0016536,-6.4048005495967155,0,0,-0.8107802029959774,-0.6592556844942109,19.5,13.759
2019-04-07,2019.0,15.0,4,0.0011592,-6.760025166957801,0,0,-0.0053415420250336985,0.04849531075602415,23.3,17.355
2019-04-14,2019.0,16.0,4,0.0010536,-6.855542407535203,0,0,-0.0053415420250336985,0.04849531075602415,23.3,17.355
2019-04-21,2019.0,17.0,4,0.0014472,-6.5381246238831885,0,0,-0.0053415420250336985,0.04849531075602415,23.3,17.355
2019-04-28,2019.0,18.0,4,0.0013156,-6.633462443649372,0,0,-0.0053415420250336985,0.04849531075602415,23.3,17.355
2019-05-05,2019.0,19.0,5,0.0010395,-6.869015450666207,0,0,0.6517268392933672,0.7011377746742051,26.4,20.671
2019-05-12,2019.0,20.0,5,0.001755,-6.345286422064308,0,0,0.6517268392933672,0.7011377746742051,26.4,20.671
2019-05-19,2019.0,21.0,5,0.002091,-6.17011285853564,0,0,0.6517268392933672,0.7011377746742051,26.4,20.671
2019-05-26,2019.0,22.0,5,0.001968,-6.230737480352075,0,0,0.6517268392933672,0.7011377746742051,26.4,20.671
2019-06-02,2019.0,23.0,6,0.0022099999999999,-6.114762763452521,0,0,1.096837678250994,1.2018381450625806,28.5,23.215
2019-06-09,2019.0,24.0,6,0.0023683999999999,-6.045540657306695,0,0,1.096837678250994,1.2018381450625806,28.5,23.215
2019-06-16,2019.0,25.0,6,0.0018671999999999,-6.283315296432036,0,0,1.096837678250994,1.2018381450625806,28.5,23.215
2019-06-23,2019.0,26.0,6,0.0022176,-6.11132974896869,0,0,1.096837678250994,1.2018381450625806,28.5,23.215
2019-06-30,2019.0,27.0,6,0.002943,-5.828325809730801,0,0,1.096837678250994,1.2018381450625806,28.5,23.215
2019-07-07,2019.0,28.0,7,0.0030294,-5.799390698871349,0,0,1.2240122036674592,1.3543706871423724,29.1,23.99
2019-07-14,2019.0,29.0,7,0.0021249,-6.154030536536587,0,0,1.2240122036674592,1.3543706871423724,29.1,23.99
2019-07-21,2019.0,30.0,7,0.0020532,-6.188355727278126,0,0,1.2240122036674592,1.3543706871423724,29.1,23.99
2019-07-28,2019.0,31.0,7,0.0010107999999999,-6.897013182450333,0,0,1.2240122036674592,1.3543706871423724,29.1,23.99
2019-08-04,2019.0,32.0,8,0.0009198,-6.991354302858451,0,0,1.1604249409592267,1.277612375644155,28.8,23.6
2019-08-11,2019.0,33.0,8,0.000658,-7.326305626638957,0,0,1.1604249409592267,1.277612375644155,28.8,23.6
2019-08-18,2019.0,34.0,8,0.0005833,-7.446808924204682,0,0,1.1604249409592267,1.277612375644155,28.8,23.6
